district,latitude,longitude,overall_risk,crime_type,cases,severity
Bengaluru Urban,12.9716,77.5946,critical,Theft,18400,critical
Bengaluru Urban,12.9716,77.5946,critical,Cyber Crime,46120,critical
Bengaluru Urban,12.9716,77.5946,critical,Cheating / Financial Fraud,5200,high
Bengaluru Urban,12.9716,77.5946,critical,Molestation,7800,high
Bengaluru Urban,12.9716,77.5946,critical,Murder,980,high
Bengaluru Urban,12.9716,77.5946,critical,Narcotic Drugs (NDPS),4200,high
Bengaluru Urban,12.9716,77.5946,critical,Kidnapping & Abduction,3900,high
Bengaluru Urban,12.9716,77.5946,critical,Attempt to Murder,1800,high
Bengaluru Urban,12.9716,77.5946,critical,POCSO,2800,high
Bengaluru Urban,12.9716,77.5946,critical,Cruelty by Husband,3400,high
Bengaluru Rural,13.2257,77.5734,high,Motor Vehicle Accidents (Fatal),1800,high
Bengaluru Rural,13.2257,77.5734,high,Theft,2100,high
Bengaluru Rural,13.2257,77.5734,high,Cases of Hurt,1900,high
Bengaluru Rural,13.2257,77.5734,high,Murder,210,medium
Mysuru,12.2958,76.6394,high,Theft,4800,high
Mysuru,12.2958,76.6394,high,Molestation,2200,high
Mysuru,12.2958,76.6394,high,Cyber Crime,1800,high
Mysuru,12.2958,76.6394,high,Cases of Hurt,2900,high
Mysuru,12.2958,76.6394,high,Cheating / Financial Fraud,1200,medium
Mysuru,12.2958,76.6394,high,POCSO,900,medium
Kalaburagi,17.3297,76.8343,critical,Murder,620,critical
Kalaburagi,17.3297,76.8343,critical,Cases of Hurt,4200,critical
Kalaburagi,17.3297,76.8343,critical,SC/ST Atrocities,2800,critical
Kalaburagi,17.3297,76.8343,critical,Kidnapping & Abduction,1800,high
Kalaburagi,17.3297,76.8343,critical,Attempt to Murder,950,high
Kalaburagi,17.3297,76.8343,critical,Riots,1200,high
Kalaburagi,17.3297,76.8343,critical,POCSO,1100,high
Kalaburagi,17.3297,76.8343,critical,Narcotic Drugs (NDPS),900,high
Raichur,16.2012,77.3566,critical,Murder,490,critical
Raichur,16.2012,77.3566,critical,SC/ST Atrocities,2100,critical
Raichur,16.2012,77.3566,critical,Cases of Hurt,3100,high
Raichur,16.2012,77.3566,critical,Cruelty by Husband,1200,high
Raichur,16.2012,77.3566,critical,Kidnapping & Abduction,900,high
Raichur,16.2012,77.3566,critical,POCSO,780,high
Vijayapura,16.8302,75.71,high,Murder,420,critical
Vijayapura,16.8302,75.71,high,Cases of Hurt,2800,high
Vijayapura,16.8302,75.71,high,SC/ST Atrocities,1600,high
Vijayapura,16.8302,75.71,high,Cruelty by Husband,1100,high
Vijayapura,16.8302,75.71,high,POCSO,850,high
Vijayapura,16.8302,75.71,high,Riots,700,medium
Belagavi,15.8497,74.4977,high,Theft,3200,high
Belagavi,15.8497,74.4977,high,Cases of Hurt,3500,high
Belagavi,15.8497,74.4977,high,Narcotic Drugs (NDPS),1800,high
Belagavi,15.8497,74.4977,high,Kidnapping & Abduction,1200,high
Belagavi,15.8497,74.4977,high,Molestation,1600,high
Belagavi,15.8497,74.4977,high,Riots,900,medium
Hubballi-Dharwad,15.3647,75.124,high,Theft,2900,high
Hubballi-Dharwad,15.3647,75.124,high,Cheating / Financial Fraud,1500,high
Hubballi-Dharwad,15.3647,75.124,high,Cases of Hurt,2400,high
Hubballi-Dharwad,15.3647,75.124,high,Motor Vehicle Accidents (Non-Fatal),3800,high
Hubballi-Dharwad,15.3647,75.124,high,Cyber Crime,900,medium
Mangaluru (Dakshina Kannada),12.9141,74.856,critical,Narcotic Drugs (NDPS),2200,critical
Mangaluru (Dakshina Kannada),12.9141,74.856,critical,Riots,1800,critical
Mangaluru (Dakshina Kannada),12.9141,74.856,critical,Attempt to Murder,980,high
Mangaluru (Dakshina Kannada),12.9141,74.856,critical,Theft,2100,high
Mangaluru (Dakshina Kannada),12.9141,74.856,critical,Murder,310,high
